Time(ms), Voltage (mV)
1.000000, -70.000000
2.000000, -70.000000
3.000000, -70.000000
4.000000, -70.000000
5.000000, -70.000000
6.000000, -70.000000
7.000000, -70.000000
8.000000, -70.000000
9.000000, -70.000000
10.000000, -70.000000
11.000000, -70.000000
12.000000, -70.000000
13.000000, -70.000000
14.000000, -70.000000
15.000000, -70.000000
16.000000, -70.000000
17.000000, -70.000000
18.000000, -70.000000
19.000000, -70.000000
20.000000, -70.000000
21.000000, -70.000000
22.000000, -70.000000
23.000000, -70.000000
24.000000, -70.000000
25.000000, -70.000000
26.000000, -70.000000
27.000000, -70.000000
28.000000, -70.000000
29.000000, -70.000000
30.000000, -70.000000
31.000000, -70.000000
32.000000, -70.000000
33.000000, -70.000000
34.000000, -70.000000
35.000000, -70.000000
36.000000, -70.000000
37.000000, -70.000000
38.000000, -70.000000
39.000000, -70.000000
40.000000, -70.000000
41.000000, -70.000000
42.000000, -70.000000
43.000000, -70.000000
44.000000, -70.000000
45.000000, -70.000000
46.000000, -70.000000
47.000000, -70.000000
48.000000, -70.000000
49.000000, -70.000000
50.000000, -70.000000
51.000000, -69.024582
52.000000, -68.273544
53.000000, -67.703903
54.000000, -67.280563
55.000000, -66.974907
56.000000, -66.763603
57.000000, -66.627655
58.000000, -66.551590
59.000000, -66.522835
60.000000, -66.531181
61.000000, -66.568352
62.000000, -66.627640
63.000000, -66.703621
64.000000, -66.791939
65.000000, -66.889084
66.000000, -66.992241
67.000000, -67.099174
68.000000, -67.208099
69.000000, -67.317612
70.000000, -67.426613
71.000000, -67.534256
72.000000, -67.639885
73.000000, -67.743011
74.000000, -67.843285
75.000000, -67.940445
76.000000, -68.034317
77.000000, -68.124802
78.000000, -68.211853
79.000000, -68.295456
80.000000, -68.375633
81.000000, -68.452438
82.000000, -68.525932
83.000000, -68.596207
84.000000, -68.663345
85.000000, -68.727448
86.000000, -68.788620
87.000000, -68.846970
88.000000, -68.902611
89.000000, -68.955643
90.000000, -69.006180
91.000000, -69.054321
92.000000, -69.100174
93.000000, -69.143837
94.000000, -69.185410
95.000000, -69.224991
96.000000, -69.262665
97.000000, -69.298523
98.000000, -69.332657
99.000000, -69.365135
100.000000, -69.396042
101.000000, -69.425453
102.000000, -69.453438
103.000000, -69.480064
104.000000, -69.505402
105.000000, -69.529503
106.000000, -69.552437
107.000000, -69.574249
108.000000, -69.595001
109.000000, -69.614746
110.000000, -69.633530
111.000000, -69.651398
112.000000, -69.668396
113.000000, -69.684563
114.000000, -69.699944
115.000000, -69.714577
116.000000, -69.728493
117.000000, -69.741730
118.000000, -69.754326
119.000000, -69.766304
120.000000, -69.777702
121.000000, -69.788544
122.000000, -69.798859
123.000000, -69.808670
124.000000, -69.818001
125.000000, -69.826874
126.000000, -69.835320
127.000000, -69.843353
128.000000, -69.850990
129.000000, -69.858261
130.000000, -69.865173
131.000000, -69.871750
132.000000, -69.878006
133.000000, -69.883957
134.000000, -69.889618
135.000000, -69.895004
136.000000, -69.900124
137.000000, -69.904991
138.000000, -69.909622
139.000000, -69.914032
140.000000, -69.918228
141.000000, -69.922218
142.000000, -69.926010
143.000000, -69.929619
144.000000, -69.933052
145.000000, -69.936317
146.000000, -69.939423
147.000000, -69.942375
148.000000, -69.945183
149.000000, -69.947853
150.000000, -69.950394
151.000000, -68.977394
152.000000, -68.228661
153.000000, -67.661209
154.000000, -67.239952
155.000000, -66.936279
156.000000, -66.726860
157.000000, -66.592705
158.000000, -66.518349
159.000000, -66.491219
160.000000, -66.501106
161.000000, -66.539742
162.000000, -66.600418
163.000000, -66.677734
164.000000, -66.767319
165.000000, -66.865662
166.000000, -66.969963
167.000000, -67.077980
168.000000, -67.187935
169.000000, -67.298431
170.000000, -67.408371
171.000000, -67.516899
172.000000, -67.623375
173.000000, -67.727310
174.000000, -67.828346
175.000000, -67.926231
176.000000, -68.020798
177.000000, -68.111946
178.000000, -68.199623
179.000000, -68.283821
180.000000, -68.364571
181.000000, -68.441917
182.000000, -68.515930
183.000000, -68.586685
184.000000, -68.654289
185.000000, -68.718834
186.000000, -68.780426
187.000000, -68.839180
188.000000, -68.895195
189.000000, -68.948593
190.000000, -68.999474
191.000000, -69.047943
192.000000, -69.094109
193.000000, -69.138069
194.000000, -69.179924
195.000000, -69.219772
196.000000, -69.257706
197.000000, -69.293808
198.000000, -69.328171
199.000000, -69.360870
200.000000, -69.391991
